Pinyin,Wade-Giles,Romatzyh
наодаи,наодаи,наодаи
нао,нао,наw
наожонг,наочунг,наwйонг
неибу,неипу,неыбух
неике,неико,неыке
ненгган,ненгкан,ненгганн
нингйинг,нингчинг,нингйинq
нонг,нунг,нонг
нуанqи,нуанчи,ноанчих
паижао,паичао,паияw
паилие,паилиех,паирлиех
паи,паи,паир
пан,пан,парн
панзи,панзи,парнзи
пангзи,пангзи,панqзи
пеиxун,пеихсун,пеиршиунн
пеиxунбан,пеихсунпан,пеиршиуннбан
пеиыанг,пеиыанг,пеирыеанг
пеиыу,пеиыу,пеирыух
пи,пи,пи
пи,пи,пи
пианмиан,пиенмиен,пианнмианн
пинжи,пинчих,пиинйых
пингфанг,пингфанг,пынгфанг
пингйинг,пингчинг,пынгйинq
пингюн,пингчун,пынгйиун
пингwен,пингwен,пынгwоен
поqие,почиех,похчиех
почан,почан,похчаан
qидаи,читаи,чидаы
qийиан,чичиен,чийиан
qимо,чимо,чимох
qиxиан,чихсиен,чишианн
qижонг,чичунг,чийонг
qиыу,чиыу,чыиыу
qиые,чиыех,чииыех
qиqиу,чичиу,чихчыоу
qишуи,чишуи,чихшоеи
qиыоу,чиыу,чихыоу
qигуан,чикуан,чихгуан
qиантоу,чиентоу,чыантоу
qианту,чиенту,чыантwу
qиаокели,чиаоколи,чеаукехлих
qие,чиех,чие
qин’аи,чинаи,чинаы
qинми,чинми,чинмих
qингчун,чингчун,чингчуен
qингсонг,чингсунг,чингсонг
qингыи,чинги,чингыих
qингxинг,чингхсинг,чингшиинг
qингйинг,чингчинг,чынгйиинг
qионг,чиунг,чыонг
qионгрен,чиунгйен,чыонгрен
qиуйи,чиучи,чиоуйих
qуши,чуших,чиушых
qуанли,чуанли,чыуанлих
qуе,чуех,чиуех
qуерен,чуехйен,чиуехренн
ран’ер,янерх,ранерл
ранлиао,янлиао,ранлиаw
раншао,яншао,раншау
ренао,йенао,рехнао
реxин,йехсин,рехшин
ренйиа,йенчиа,ренйиа
рийи,йихчи,рыхйих
рили,йихли,рыхлих
руйин,ючин,руйин
руо,йо,руох
сан,сан,саан
сан,сан,санн
сао,сао,сао
се,се,сех
сецаи,сецаи,сехцае
сенлин,сенлин,сенлин
шаи,шаи,шаы
шан,шан,шаан
шандиан,шантиен,шаандианн
шанлианг,шанлианг,шаннлианг
шаныу,шаныу,шанныу
шангхаи,шангхаи,шангхаы
шангwу,шангwу,шангwух
шанг,шанг,шаанг
шанггеыуе,шангкоыуех,шанqгехыуех
шанглоу,шанглоу,шанqлоу
шангмен,шангмен,шанqмен
шао,шао,шау
шеши,шеших,шехшы
шежи,шечих,шехйых
шенqинг,шенчинг,шенчиинг
шенцаи,шенцаи,шенцаир
шенфен,шенфен,шенфенн
шенгао,шенкао,шенгау
шенхоу,шенхоу,шенхоw
шенхуа,шенхуа,шернхуах
шенми,шенми,шернмих
шенжи,шенчих,шеннйых
шибаи,шихпаи,шыбаы
шиwанг,шихwанг,шыwанq
шиые,шихыех,шыыех
ши,ших,шы
ширен,шихйен,шырен
ши,ших,шы
шиши,шихших,шыршы
шиыонг,шихыунг,шырыонq
шитанг,шихтанг,шыртарнг
шийин,шихчин,шыыйинн
шибинг,шихпинг,шыхбинг
шиqу,шихчу,шыхчиу
шиде,шихде,шыхде
шиwу,шихwу,шыхwух
шиxиан,шиххсиен,шыхшиан
шиюан,шихчуан,шыхйиуанн
шифоу,шихфоу,шыхфооу
шоухуи,шоухуи,шоухwеи
шоухуо,шоухуо,шоухуох
шоуыи,шоуи,шоуыих
шоугонг,шоукунг,шооугонг
шоули,шоули,шооулии
шоушу,шоушу,шооушух
шоутао,шоутао,шооутаw
шоу,шоу,шооу
шоу,шоу,шооу
шоухуоыуан,шоухуоыуан,шоwхуохыуан
шушу,шушу,шушу
шуши,шуших,шушых
шулиан,шулиен,шwулианн
шуйиа,шучиа,шууйиах
шулин,шулин,шухлин
шуые,шуыех,шухыех
шую,шучу,шухйиух
шума,шума,шухмаа
шуа,шуа,шуа
шуаыа,шуаыа,шуаыа
шуази,шуази,шуази
шуаи,шуаи,шуаы
шуаиге,шуаико,шуаыге
шуаиxиан,шуаихсиен,шуаышиан
шуижао,шуичао,шуеыяур
шунxу,шунхсу,шуенншиух
шуобудинг,шуобутинг,шуобудинq
шуофу,шуофу,шуофwу
сикао,ссукао,сыкао
сиху,ссуху,сыхху
сонг,сунг,сонг
сонгшу,сунгшу,сонгшух
сулиао,сулиао,сухлиаw
сулиаодаи,сулиаотаи,сухлиаwдаы
суан,суан,суан
суаннаи,суаннаи,суаннае
суишоу,суишоу,сwеишооу
суодуан,сотуан,суодоан
суоxиао,сохсиао,суошеау
таийие,таичиех,таирйие
таишанг,таишанг,таиршанq
танг,танг,таанг
таоцан,таоцан,таwцан
тейиа,течиа,техйиах
тешу,тешу,техшу
теженг,теченг,техйенг
тигонг,тикунг,тыигонг
тиxинг,тихсинг,тыишиинг
тицао,тицао,тиицау
тийиан,тичиен,тиийеан
тижонг,тичунг,тиийонq
ти,ти,тих
тидаи,титаи,тихдаы
тианжен,тиенчен,тианйен
тиан,тиен,тыан
тианконг,тиенкунг,тыанконq
тиао,тиао,тиау
тиаоxуан,тиаохсуан,тиаушеуан
тиаопи,тиаопи,тыаупыи
тиаожан,тиаочан,теауянн
тие,тиех,тие
тингxиа,тингхсиа,тынгшиах
тинг,тинг,тиинг
тонгжишу,тунгчихшу,тонгйышу
тонгqинг,тунгчинг,торнгчынг
тонгхуа,тунгхуа,торнгхуах
тонгниан,тунгниен,торнгниан
тонгйи,тунгчи,тоонгйих
тонгыи,тунги,тоонги
тонгкуаи,тунгкуаи,тонqкуаы
тоу,тоу,тоур
тоуру,тоую,тоуррух
тоусу,тоусу,тоурсух
тоузи,тоутзу,тоуртзы
тоу,тоу,тоw
тоуминг,тоуминг,тоwминг
ту’ан,туан,тwуанн
тужонг,тучунг,тwуйонг
туди,тути,туудих
туичи,туичих,туеичыр
туиxиао,туихсиао,туеишиау
туо,то,туо
wази,wази,wахзи
wаихуи,wаихуи,wаыхуеы
wаийиаогуан,wаичиаокуан,wаыйиаугуан
wаитао,wаитао,wаытаw
wан,wан,уан
wандиан,wантиен,wоандеан
wаныи,wани,wанни
wанг,wанг,wанг
wанглуо,wангло,wоанглуох
wангжи,wангчих,wоангйыы
wеиxиао,wеихсиао,уеишиаw
wеиxин,wеихсин,уеишинн
wеийин,wеичин,wеийин
wеичи,wеичих,wеичыр
wеиху,wеиху,wеихух
wеиxиу,wеихсиу,wеишиоу
wеиба,wеиба,wоеиба
wеиби,wеипи,wеыбих
wеилаи,wеилаи,wеылаи
wеиыу,wеиыу,wеыыу
wеир,wеир,wеыр
wеи,wеи,wеы
wен,wен,wоен
wендинг,wентинг,wоендинq
wенхоу,wенхоу,wеннхоw
wу,wу,wу
wуфа,wуфа,wуфаа
wулиао,wулиао,wулиау
wулун,wулун,wулуенн
wушу,wушу,wушух
wусуоwеи,wусоwеи,wусуооwеы
wуxиан,wухсиен,wушианн
wуыанлиусе,wуыанлиусе,wууыанлиоwсех
wухуи,wухуи,wуххуеы
xигуа,хсикуа,шигуа
xи,хси,ши
xигуан,хсикуан,шигоан
xишоу,хсишоу,шишоу
xиыан,хсиыан,шииан
xиыин,хсиыин,шиыиин
xиаи,хсиаи,шииаы
xилие,хсилиех,шихлиех
xитонг,хситунг,шихтоонг
xи,хси,ших
xийие,хсичиех,шихйые
xижи,хсичих,шихйых
xиагеыуе,хсиакоыуех,шиахгехыуех
xиайианг,хсиачианг,шиахйианq
xиалоу,хсиалоу,шиахлоу
xиайи,хсиачи,шиахйих
xиан,хсиен,шиан
xианхуа,хсиенхуа,шианхуа
xианминг,хсиенминг,шианминг
xиан,хсиен,шыан
xианжу,хсиенчу,шеанюх
xиан,хсиен,шианн
xианжи,хсиенчих,шианнйых
xиангчу,хсиангчу,шиангчуу
xиангфан,хсиангфан,шиангфаан
xианг,хсианг,шианг
xиангзи,хсиангзи,шиангзи
xиангниан,хсиангниен,шеангнианн
xиангxианг,хсиангхсианг,шеангшианq
xианг,хсианг,шианq
xиангму,хсиангму,шианqмух
xиангпиан,хсиангпиен,шианqпианн
xиаохуа,хсиаохуа,шиаухуах
xиаошоу,хсиаошоу,шиаушоw
xиаочи,хсиаочих,шеаучы
xиаохуози,хсиаохуози,шеаухуоози
xиаоxинг,хсиаохсинг,шеаушынг
xие,хсиех,шие
xинли,хсинли,шинлии
xинланг,хсинланг,шинланг
xиннианг,хсиннианг,шиннианг
xинxиан,хсинхсиен,шиншиан
xинxинг,хсинхсинг,шиншынг
xингфен,хсингфен,шингфенн
xингронг,хсингюнг,шынгронг
xингши,хсингших,шынгшых
xинг,хсинг,шынг
xингхао,хсингхао,шынгхаw
xинг,хсинг,шиинг
xингqу,хсингчу,шинqчиух
xингжи,хсингчих,шинqйых
xионгди,хсиунгти,шионгдих
xионгбу,хсиунгпу,шионгбух
xиули,хсиули,шиоулии
xуанзе,хсуанце,шеуантзер
xуефен,хсуехфен,шыуефен
xуениан,хсуехниен,шыуениан
xуеши,хсуехших,шыуешыр
xуешу,хсуехшу,шыуешух
xунжао,хсунчао,шыуняо
xунсу,хсунсу,шиуннсух
ыа,ыа,ыа
ыашуа,ыашуа,ыашуа
ыаыунхуи,ыаыунхуи,ыахыуннхуеы
ыа,ыа,ыа
ыанчанг,ыанчанг,ыанчарнг
ыанqи,ыанчи,ыанчи
ыанxу,ыанхсу,ыаншиух
ыан,ыан,ыан
ыанге,ыанко,ыангер
ыанжонг,ыанчунг,ыанйонq
ыанйиу,ыанчиу,ыанйиоу
ыанйиушенг,ыанчиушенг,ыанйиоушенг
ыанжи,ыанчих,ыанйых
ыан,ыан,ыан
ыанйинг,ыанчинг,ыеанйинq
ыанлеи,ыанлеи,ыеанлеы
ыанйианг,ыанчианг,ыеанйеанг
ыангтаи,ыангтаи,ыангтаир
ыангченг,ыангченг,ыеангчернг
ыао,ыао,иау
ыао,ыао,ыау
ыаоwу,ыаоwу,ыаwwух
ыао,ыао,ыаw
ыеыу,ыехыу,ыехыу
ыези,ыехзи,ыехзи
ыилиао,илиао,илиау
ыиxуе,ихсуех,ишыуе
ыикао,икао,икаw
ыиран,иян,иран
ыи,и,ыи
ыидонг,итунг,ыидонq
ыимин,имин,ыимин
ыичан,ичан,ыичаан
ыичуан,ичуан,ыичwан
ыиwен,иwен,ыиwенн
ыийи,ичи,ыиийыи
ыинеи,инеи,ыиинеы
ыиwу,иwу,ыихwух
ыилун,илун,ыихлуенн
ыин,ыин,ыиин
ыиндао,ыинтао,ыииндао
ыинйин,ыинчин,ыиинйинн
ыинqи,ыинчи,ыиинчии
ыинг,ыинг,инг
ыингыонг,ыингыунг,ингыеонг
ыингые,ыингыех,ынгыех
ыингде,ыингте,ынгдер
ыингзи,ыингзи,ыиингзи
ыонгган,ыунгкан,ыеонггаан
ыонгqи,ыунгчи,ыеонгчих
ыонгту,ыунгту,ыонqтwу
ыоулианг,ыулианг,иоулианг
ыоумеи,ыумеи,иоумееи
ыоуxиу,ыухсиу,иоушиоw
ыоую,ыучу,ыоуйыу
ыоуqу,ыучу,ыеоучиух
ыоуxиан,ыухсиен,ыеоушианн
ыоу’ерыуан,ыуерхыуан,ыоwерлыуан
ыуши,ыуших,ыушых
ыуфа,ыуфа,ыеуфаа
ыуыин,ыуыин,ыеуин
ыу,ыу,ыух
ыуми,ыуми,ыухмии
ыуце,ыуце,ыухцех
ыудинг,ыутинг,ыухдинq
ыу,ыу,ыух
ыудао,ыутао,ыухдаw
ыуйиан,ыучиен,ыухйианн
ыуанлиао,ыуанлиао,ыуанлиаw
ыуанзе,ыуанце,ыуантзер
ыуан,ыуан,ыуан
ыуанман,ыуанман,ыуанмаан
ыуехуи,ыуеххуи,иуехуеы
ыуеди,ыуехти,ыуехдии
ыуеду,ыуехту,ыуехдwу
ыундонгхуи,ыунтунгхуи,ыунндонqхуеы
ыундонгыуан,ыунтунгыуан,ыунндонqыуан
ыунqи,ыунqи,ыуннqи
ыуныонг,ыуныунг,ыунныонq
заисан,цаисан,тзаысан
заиху,цаиху,тзаыху
заиыу,цаиыу,тзаыыу
занченг,цанченг,тзаннчернг
заншанг,цаншанг,тзанншаанг
занжу,цанчу,тзаннюх
заоxинг,цаохсинг,тзаwшынг
жандоу,чантоу,янндоw
жаншенг,чаншенг,янншенq
жанши,чанших,янншых
жанженг,чанченг,яннйенг
жангфу,чангфу,янqфу
жаоху,чаоху,яуху
жаохуо,чаохуо,яурхуоо
жаойи,чаочи,яурйыи
жаокаи,чаокаи,яwкаи
жен,чен,йен
жендуи,чентуи,йендуеы
жен,чен,йенн
женглун,ченглун,йенглуенн
женгфу,ченгфу,йенгфwу
женгqиу,ченгчиу,йенгчыоу
женгфу,ченгфу,йенqфуу
женгжи,ченгчих,йенqйых
жихоу,чиххоу,йыхоw
жийиан,чихчиен,йыйиан
жиqиан,чихчиен,йычыан
жиыи,чихи,йыи
жи,чих,йы
жиwу,чихwу,йырwух
жихуи,чиххуи,йыыхуеи
жидинг,чихтинг,йыхдинq
жилианг,чихлианг,йыхлианq
жи,чих,йых
жилиао,чихлиао,йыхлиау
жили,чихли,йыхлих
жиненг,чихненг,йыхненг
жонгйие,чунгчиех,йонгйиех
жонглеи,чунглеи,йоонглеы
жонгйианг,чунгчианг,йонqйеанг
жонг,чунг,йоонг
жонгжи,чунгчих,йонqйыр
жонглианг,чунглианг,йонqлианq
жубу,чупу,йwубух
жуйиан,чучиен,йwуйианн
жути,чути,юутыи
жуxи,чухси,юушыи
жуфу,чуфу,юхфwу
жуминг,чуминг,юхминг
жузуо,чуцо,юхтзуох
жуайин,чуачин,юайиин
жуанxин,чуанхсин,юаншин
жуандонг,чуантунг,йоандонq
жуангао,чуанкао,йоангаw
жуаншен,чуаншен,йоаншен
жуанwан,чуанwан,йоануан
жуаныи,чуани,йоаныи
жуангxиу,чуангхсиу,юангшиоу
жуангжи,чуангчих,юангйых
жуиqиу,чуичиу,юеичыоу
жунши,чунших,йоеншыр
зилиао,тзулиао,тзылиаw
зиыуан,тзуыуан,тзыыуан
зи,тзу,тзых
зиxин,тзухсин,тзыхшинн
зиму,тзуму,тзыхмуу
зонгхе,цунгхо,тзонгхер
зонггонг,цунгкунг,тзоонггонq
зонгли,цунгли,тзоонглии
зонгтонг,цунгтунг,тзоонгтоонг
зонгжи,цунгчих,тзоонгйы
зужи,цучих,тзууйыы
зуиба,цуиба,тзоеиба
зуичу,цуичу,тзуеычу
зуочу,цочу,тзуохчу
зуоwеи,цоwеи,тзуохwеи
анwеи,анwеи,анwеы
ан,ан,анн
аншанг,аншанг,анншанq
анмо,анмо,аннмо
ба,па,бар
баийиу,паичиу,баирйеоу
баифанг,паифанг,баыфаанг
бан,пан,баан
баныан,паныан,банныеан
банг,панг,банq
баоwеи,паоwеи,бауwеи
баожуанг,паочуанг,бауюанг
баоwеи,паоwеи,баоwеы
баоыанг,паоыанг,баоыеанг
баода,паота,баwдар
баойинг,паочинг,баwйиинг
баоыуан,паоыуан,баwыуанн
беибао,пеипао,беибау
беию,пеичу,беийиух
беишанг,пеишанг,беишанг
беийи,пеичи,бееийыи
беидонг,пеитунг,беыдонq
беи,пеи,беы
бенрен,пенйен,беенрен
бизи,пизи,быизи
бижонг,пичунг,биийонq
бици,питзу,биицыы
би,пи,бих
биxу,пихсу,бихшиу
бийинг,пичинг,бихйинq
биму,пиму,бихмух
бимуши,пимуших,бихмухшых
бианйинг,пиенчинг,бианйинq
бианйи,пиенчи,бианйыи
биандонг,пиентунг,бианндонq
бианли,пиенли,бианнлих
биантиао,пиентиао,бианнтыау
бианыу,пиеныу,бианныу
бингуан,пинкуан,бингоан
бинг,пинг,биинг
бингган,пингкан,биингган
бингду,пингту,бинqдwу
боли,поли,боли
боке,поко,боркех
боланхуи,поланхуи,борлаанхуеы
боши,поших,боршых
боwугуан,поwукуан,борwухгоан
боруо,пойо,борруох
бучанг,пучанг,буучарнг
бутие,путиех,буутие
буценг,пуценг,бухцернг
буганданг,пукантанг,бухгаанданг
булианг,пулианг,бухлианг
бумиан,пумиен,бухмеан
буненгбу,пуненгпу,бухненгбух
буши,пуших,бухшыр
бутинг,путинг,бухтынг
буxу,пухсу,бухшеу
бужи,пучих,бухйыы
бузу,пуцу,бухтзwу
буwеи,пуwеи,бухwеы
цаи,цаи,цаи
цаице,цаице,цаицех
цаипан,цаипан,цаирпанн
цаигоу,цаикоу,цаегоw
цаипиао,цаипиао,цаепиаw
цангуан,цанкуан,цангоан
цантинг,цантинг,цантинг
цаныин,цаныин,цаныиин
цаоыуан,цаоыуан,цаоыуан
це,це,цех
ценгци,ценгтзу,цернгцых
ча,ча,ча
чази,чази,чази
чабие,чапиех,чабые
чаю,чачу,чайиух
ча,ча,ча
чаxун,чахсун,чаршыун
чаи,чаи,чаи
чаичу,чаичу,чаичwу
чаные,чаныех,чааныех
чангду,чангту,чарнгдух
чангшоу,чангшоу,чарнгшоw
чанг,чанг,чарнг
чанг,чанг,чарнг
чангши,чангших,чарнгшых
чангжанг,чангчанг,чаангяанг
чангмиан,чангмиен,чаангмианн
чангдао,чангтао,чанqдао
чаоыуе,чаоыуех,чауыуех
чежу,чечу,чеюу
ченг,ченг,ченг
ченгхао,ченгхао,ченгхаw
ченгбен,ченгпен,чернгбеен
ченгйиао,ченгчиао,чернгйиау
ченгxиао,ченгхсиао,чернгшиаw
ченгыу,ченгыу,чернгыеу
ченгбан,ченгпан,чернгбанн
ченгли,ченгли,ченгли
ченг,ченг,чернг
ченгче,ченгче,чернгче
ченгке,ченгко,чернгкех
ченгзуо,ченгцо,чернгтзуох
чили,чихли,чылих
чизи,чихзи,чырзи
чи,чих,чыр
чонгдонг,чунгтунг,чонгдонq
чонгту,чунгту,чонгту
чонгзу,чунгцу,чонгтзwу
чоу,чоу,чоур
чоу,чоу,чооу
чоу,чоу,чоw
чубан,чупан,чубаан
чучаи,чучаи,чучаи
чухан,чухан,чуханн
чуыу,чуыу,чуыу
чуqи,чучи,чучи
чуфеи,чуфеи,чwуфеи
чуxи,чухси,чwуши
чуфанг,чуфанг,чwуфарнг
чуфа,чуфа,чууфар
чуфен,чуфен,чууфенн
чузаи,чуцаи,чуутзаы
чуанда,чуанта,чwандар
чуанди,чуанти,чwандих
чуанжен,чуанчен,чwанйен
чуанглиан,чуанглиен,чуанглиан
чуанг,чуанг,чоанг
чуангли,чуангли,чуанqлих
цидиан,тзутиен,цырдеан
цижи,тзучих,цырйыр
цихоу,тзухоу,цыыхоw
цике,тзуко,цыыкех
циши,тзуших,цыышыр
цонгминг,цунгминг,цонгминг
цонг’ер,цунгерх,цорнгерл
цонгжонг,цунгчунг,цорнгйонг
цуи,цуи,цуеы
цункуан,цункуан,цwенкоан
цун,цун,цуенн
даченг,таченг,дарчернг
да,та,дар
дафу,тафу,дарфух
дабан,табан,даабан
дабао,тапао,даабау
дайи,тачи,даайи
дайиа,тачиа,даайиах
дарао,таяо,даарао
дадан,татан,дахдаан
даганг,таканг,дахганг
дахуор,тахуор,даххуоор
дайиангсаи,тачиангсаи,дахйеангсаы
данао,танао,дахнао
даши,таших,дахшых
датинг,татинг,дахтинг
даxианг,тахсианг,дахшианq
даxионгмао,тахсиунгмао,дахшыонгмхау
даыу,таыу,дахыу
дажи,тачих,дахйых
даи,таи,даи
даи,таи,даи
даийиа,таичиа,даыйиах
даили,таили,даылии
даиыоу,таиыу,даыыеоу
даикуан,таикуан,даыкоан
даныи,тани,дани
дан,тан,даан
данxиао,танхсиао,дааншеау
дангао,танкао,даннгау
дангчанг,тангчанг,дангчаанг
дангдаи,тангтаи,дангдаы
дангниан,тангниен,дангниан
дангqиан,тангчиен,дангчыан
дангxуан,тангхсуан,дангшеуан
данг,танг,даанг
даолаи,таолаи,даwлаи
даоде,таоте,даwдер
деле,теле,дерле
деыи,теи,дерыии
денгхоу,тенгхоу,деенгхоw
денгйи,тенгчи,деенгйыи
диыу,тиыу,диыу
дидаи,титаи,дихдаы
диxинг,тихсинг,дихшынг
дижен,тичен,дихйенн
ди,ти,дих
дигеи,тикеи,дихгееи
дианли,тиенли,деанлии
дианран,тиенян,деанран
дианчи,тиенчих,дианнчыр
дианфангуо,тиенфанкуо,дианнфаннгуо
дианзибан,тиентзупан,дианнтзыыбаан
диаодонг,тиаотунг,диаwдонq
диу,тиу,диоу
донгйи,тунгчи,донqйи
донгшоу,тунгшоу,донqшооу
донгтаи,тунгтаи,донqтаы
донгыуан,тунгыуан,донqыуан
донг,тунг,донq
донг,тунг,донq
доужипин,тоучихпин,доwйыхпиин
ду,ту,дwу
дуи,туи,дуеи
дуили,туили,дуеылих
дуиыинг,туиыинг,дуеыыинq
дун,тун,дуен
дуо,то,дуоо
дуо,то,дуоо
ердуо,ерхдуо,еелдуо
ерwеима,ерхwеима,еллwеимаа
фабу,фапу,фабух
фаюе,фачуех,файыуе
фаше,фаше,фашех
фаxинг,фахсинг,фашынг
фа,фа,фар
факуан,факуан,фаркоан
фагуи,факуеи,фаагуеи
фажи,фачих,фаайых
фанронг,фанюнг,фарнронг
фанхуи,фанхуи,фаанхwеи
фангжи,фангчих,фарнгйых
фангда,фангта,фанqдах
фангqи,фангчи,фанqчих
фенченг,фенченг,фенчернг
фенйие,фенчиех,фенйиее
фенлеи,фенлеи,фенлеы
фенли,фенли,фенли
фенxи,фенхси,фенши
фенxианг,фенхсианг,феншеанг
фенгшоу,фенгшоу,фенгшоу
фенгду,фенгту,фенгдух
фенггуанг,фенгкуанг,фенггуанг
фенг,фенг,фенг
фенг,фенг,фенг
фенгкуанг,фенгкуанг,фенгкwанг
фу,фу,фwу
фуцонг,фуцунг,фwуцорнг
фу,фу,фwу
фуду,футу,фwудух
фули,фули,фwулих
фужу,фучу,фууюх
фузерен,фуцейен,фухтзеррен
фуйиан,фучиен,фухйианн
гаиге,каико,гаегер
ганцуи,канцуи,ганцуеы
ганрао,каняо,ганрао
ганыу,каныу,ганыух
ганxианг,канхсианг,гааншеанг
гангби,кангпи,гангбии
гангqин,кангчин,гангчын
гаода,каота,гаудах
гаоду,каоту,гаудух
гаогенxие,каокенхсиех,гаугеншые
гаоwен,каоwен,гаууен
гаоыу,каоыу,гауыу
гаоыуан,каоыуан,гауыуан
гао,као,гао
гаохао,каохао,гаохао
геqу,кочу,гечеу
геби,копи,гербих
гер,кор,гехр
генqиан,кенчиен,генчыан
генсуи,кенсуи,генсwеи
генгхуан,кенгхуан,генгхуанн
генгxин,кенгхсин,генгшин
гонгыи,кунги,гонгыих
гонгзуори,кунгцойих,гонгтзуохрых
гонггао,кунгкао,гонггаw
гонгрен,кунгйен,гонгренн
гонгши,кунгших,гонгшых
гонгженг,кунгченг,гонгйенq
гонгйи,кунгчи,гонqйих
гонгxианг,кунгхсианг,гонqшеанг
гоу,коу,гоу
гоутонг,коутунг,гоутонг
гуйи,кучи,гуйих
гулао,кулао,гуулао
гу,ку,гуу
гули,кули,гуулих
гужанг,кучанг,гууяанг
гуwен,куwен,гухwенн
гуаи,куаи,гуаы
гуанхуаи,куанхуаи,гуанхwаи
гуанйиан,куанчиен,гуанйианн
гуанюн,куанчун,гуаннйиун
гуангронг,куангюнг,гуангронг
гуангxиан,куангхсиен,гуангшианн
гуангфан,куангфан,гоангфанн
гуихуа,куеихуа,гуеихуах
гуи,куеи,гоеи
гуизи,куеизи,гуеызи
гун,кун,гоен
гуо,куо,гуо
гуойи,куочи,гwойыи
гуомин,куомин,гwомин
гуоду,куоту,гуохдух
гуомин,куомин,гуохмиин
гуоыу,куоыу,гуохыу
хаи,хаи,хаы
хан,хан,ханн
хаоыун,хаоыун,хаоыунн
хаожао,хаочао,хаwяw
хебинг,хопинг,хербинq
хеченг,хоченг,херчернг
хе,хо,хер
хефан,хофан,херфанн
хези,хози,херзи
хека,хока,хехкаа
хен,хен,хенн
хоу,хоу,хоур
хоухуи,хоухуи,хоwхоеи
хузи,хузи,хwузи
ху,ху,хуу
хуаыу,хуаыу,хwаыеу
хуа,хуа,хwа
хуаши,хуаших,хуахшыр
хуафен,хуафен,хуахфен
хуамиан,хуамиен,хуахмианн
хуанйие,хуанчиех,хwанйые
хуанг,хуанг,хуанг
хуангманг,хуангманг,хуангманг
хуисе,хуисе,хуеисех
хуифу,хуифу,хуеифух
хуибао,хуипао,хwеибаw
хуиби,хуипи,хwеибих
хуигу,хуику,хwеигух
хуишоу,хуишоу,хwеишоу
хуитоу,хуитоу,хwеитоур
хуиxин,хуихсин,хwеишинн
хуиыи,хуии,хwеиыих
хуикуан,хуикуан,хуеыкоан
хуитан,хуитан,хуеытарн
хуоли,хуоли,хwолих
хуочаи,хуочаи,хуоочаир
хуотуи,хуотуи,хуоотоеи
хуозаи,хуоцаи,хуоотзаи
хуоши,хуоших,хуохшых
йиqирен,чичийен,йичихрен
йижи,чичих,йийых
йироу,чийоу,йироw
йиди,чити,йидих
йийин,чичин,йийин
йиши,чиших,йыишыы
йитуан,читуан,йыитwан
йи,чи,йии
йиыи,чии,йихыих
йиненг,чиненг,йихненг
йиченг,чиченг,йихчернг
йиаре,чиайе,йиарех
йиашанг,чиашанг,йиашанq
йиасу,чиасу,йиасух
йиаыи,чиаи,йиаыии
йиа,чиа,йиа
йиа,чиа,йеа
йиа,чиа,йиах
йиаши,чиаших,йиахшыы
йиажао,чиачао,йиахяw
йиандинг,чиентинг,йиандинq
йиан,чиен,йиан
йианку,чиенку,йианкуу
йианнан,чиеннан,йианнан
йианыан,чиеныан,йеаныанн
йианqинг,чиенчинг,йеанчинг
йиан,чиен,йеан
йиандао,чиентао,йеандау
йианзи,чиензи,йеанзи
йианйие,чиенчиех,йианнйие
йианзао,чиенцао,йианнтзаw
йианжу,чиенчу,йианнюх
йианqуан,чиенчуан,йианнчыуан
йиан,чиен,йианн
йианпан,чиенпан,йианнпарн
йианг,чианг,йианг
йиангыао,чиангыао,йиангыаw
йиангли,чиангли,йеанглих
йиаодаи,чиаотаи,йиаудаы
йиаоqу,чиаочу,йиаучиу
йиаодаи,чиаотаи,йиаудаы
йиаошуи,чиаошуи,йиаушоеи
йиаобу,чиаопу,йеаубух
йиечу,чиехчу,йиечух
йиелиан,чиехлиен,йиелиан
йиечу,чиехчу,йиеечwу
йиефанг,чиехфанг,йиеефанq
йие,чиех,йиех
йие,чиех,йиех
йинри,чинйих,йинрых
йингуан,чинкуан,йиингоан
йинйин,чинчин,йиинйиин
йинкененг,чинконенг,йиинкеененг
йинхуа,чинхуа,йиннхуах
йинлаи,чинлаи,йиннлаи
йингфеи,чингфеи,йингфеы
йингxианг,чингхсианг,йиингшианq
йинггао,чингкао,йиинггаw
йингсаи,чингсаи,йинqсаы
йингженг,чингченг,йинqйенг
йиугуи,чиукуеи,йеоугоеи
йиузаи,чиуцаи,йиоwтзаи
юран,чуян,йиуран
юмиан,чумиен,йыумианн
южанг,чучанг,йыуяанг
юдонг,чутунг,йеудонq
ююе,чучуех,йиухйыуе
юлебу,чулепу,йиухлехбух
юбен,чупен,йиухбеен
юебу,чуехпу,йыуебух
юеwанг,чуехwанг,йыуеwанq
юнрен,чунйен,йиунрен
каиму,каиму,каимух
каимуши,каимуших,каимухшых
канченг,канченг,каннчернг
канчу,канчу,каннчу
кандаи,кантаи,канндаы
каохе,каохо,каохер
каороу,каойоу,каороw
каоыа,каоыа,каоиа
каойин,каочин,каwйинн
ке,ко,ке
ке,ко,кее
келиан,колиен,кеелиан
кеxи,кохси,кееши
кеwанг,коwанг,кееwанq
ке,ко,кех
кеху,коху,кеххух
кетинг,котинг,кехтинг
кети,коти,кехтыи
кендинг,кентинг,кеендинq
конгжонг,кунгчунг,конгйонг
конгжи,кунгчих,конqйых
коухао,коухао,кооухаw
ку,ку,кух
